"","test","order","auc","SumsOfSqs","MeanSqs","F.model","R2","Pval","N.taxa","F.model.scale"
"38","auc38",38,38,0.971546600997408,0.971546600997408,2.12188696662202,0.0194451088191965,0.01,308,0.364490505159625
"39","auc39",39,39,0.976451524368771,0.976451524368771,2.13082811757,0.0195254462403089,0.01,322,0.378284053186737
"40","auc40",40,40,0.981077234465881,0.981077234465881,2.12693499558998,0.0194904676437209,0.009,336,0.372278118903857
"41","auc41",41,41,0.988451788795533,0.988451788795533,2.13003225731707,0.0195182958646496,0.01,351,0.377056276507248
"42","auc42",42,42,0.996295474095935,0.996295474095935,2.134798996145,0.0195611208870271,0.01,366,0.384409942868356
"43","auc43",43,43,1.02432029183471,1.02432029183471,2.18154548996994,0.0199808995208843,0.007,382,0.456525939055532
"44","auc44",44,44,1.02937379035838,1.02937379035838,2.17089188543098,0.0198852628932373,0.006,398,0.440090582273718
"45","auc45",45,45,1.03179158780747,1.03179158780747,2.16776148595092,0.0198571579781811,0.006,414,0.435261302931106
"46","auc46",46,46,1.0455556978372,1.0455556978372,2.1728916433511,0.0199032159966007,0.006,431,0.443175616524266
"47","auc47",47,47,1.0489535358066,1.0489535358066,2.16472910664757,0.0198299315572226,0.006,447,0.430583239692877
"48","auc48",48,48,1.05299422455746,1.05299422455746,2.16566559758407,0.0198383400653401,0.006,465,0.432027967869906
"49","auc49",49,49,1.06331715244607,1.06331715244607,2.17261529560448,0.0199007350856415,0.005,482,0.442749293790487
"50","auc50",50,50,1.0649082729724,1.0649082729724,2.17162341996323,0.0198918304219897,0.005,500,0.441219123416
"51","auc51",51,51,1.07189395714716,1.07189395714716,2.17854439324296,0.0199539607836885,0.005,518,0.451896135568432
"52","auc52",52,52,1.07207059725386,1.07207059725386,2.17423722439004,0.019915295766356,0.005,537,0.445251449578973
"53","auc53",53,53,1.07120341868761,1.07120341868761,2.16873249766677,0.0198658759522845,0.005,556,0.436759286447487
"54","auc54",54,54,1.06958792103256,1.06958792103256,2.15112992377718,0.0197078117769314,0.005,575,0.409603727866774
"55","auc55",55,55,1.06690165313465,1.06690165313465,2.13865281151933,0.0195957413475934,0.005,595,0.390355238699149
"56","auc56",56,56,1.07189730357441,1.07189730357441,2.14261673107107,0.0196313483700919,0.005,615,0.396470392668769
"57","auc57",57,57,1.07546532085108,1.07546532085108,2.13875207912314,0.0195966330783459,0.005,636,0.390508379214123
"58","auc58",58,58,1.07474604510776,1.07474604510776,2.13376221771421,0.0195518066485925,0.005,658,0.382810500787384
"59","auc59",59,59,1.06920348281654,1.06920348281654,2.11212761263492,0.019357404706957,0.005,679,0.349434712150655
"60","auc60",60,60,1.06748730115578,1.06748730115578,2.10303490535749,0.0192756774106402,0.006,702,0.335407357589999
"61","auc61",61,61,1.06870264252325,1.06870264252325,2.093224279626,0.0191874820223544,0.006,724,0.32027246746337
"62","auc62",62,62,1.0714135979844,1.0714135979844,2.09429340887648,0.0191970940315571,0.006,748,0.321921817278564
"63","auc63",63,63,1.07269375030176,1.07269375030176,2.08677369560304,0.0191294840328306,0.006,771,0.310321126630263
"64","auc64",64,64,1.0784163475033,1.0784163475033,2.08409685876227,0.019105414251728,0.005,796,0.306191560119328
"65","auc65",65,65,1.07968686510193,1.07968686510193,2.07806384571692,0.0190511618234826,0.005,820,0.296884407642726
"66","auc66",66,66,1.080824282141,1.080824282141,2.07571725998353,0.0190300583129427,0.005,846,0.293264320787959
"67","auc67",67,67,1.08533639298474,1.08533639298474,2.07604437918509,0.019033000243097,0.004,872,0.293768968840934
"68","auc68",68,68,1.08239286164381,1.08239286164381,2.0636582578177,0.0189215939643192,0.004,898,0.274660851670702
"69","auc69",69,69,1.08393665265539,1.08393665265539,2.06154216067212,0.0189025583155152,0.004,925,0.271396340448668
"70","auc70",70,70,1.08232455005348,1.08232455005348,2.05449275733287,0.0188391390889737,0.004,953,0.260521198748443
"71","auc71",71,71,1.09561819164874,1.09561819164874,2.06760437683291,0.0189570898585913,0.004,981,0.28074854468402
"72","auc72",72,72,1.09750891650704,1.09750891650704,2.05950740398944,0.0188842536796027,0.004,1010,0.268257313472245
