"","x","y"
"1",1,0.114442374209882
"2",2,0.0856314343735007
"3",3,0.0555091791683389
"4",4,0.0445545952868071
"5",5,0.0426370246300976
"6",6,0.0349474313384251
"7",7,0.0335058790167525
"8",8,0.0335028091939467
"9",9,0.0321433528345973
"10",10,0.0316731635446398
"11",11,0.0314577932300238
"12",12,0.0269930450924252
"13",13,0.0250352934575676
"14",14,0.023429760941326
"15",15,0.0225610195434603
"16",16,0.0223397697306862
"17",17,0.019695773581759
"18",18,0.0194280313295964
"19",19,0.0157864798317596
"20",20,0.0142772037918353
"21",21,0.014024487700351
"22",22,0.0127774751192762
"23",23,0.0119070711691313
"24",24,0.0118862786342892
"25",25,0.011244151771973
"26",26,0.0109337399125353
"27",27,0.0107326904757338
"28",28,0.0105179029285482
"29",29,0.0103862103347091
"30",30,0.0102501575413267
"31",31,0.0101357659053363
"32",32,0.00958446138122439
"33",33,0.00906306886833547
"34",34,0.00816960526684187
"35",35,0.00811311432456997
"36",36,0.00795550084089834
"37",37,0.00754546646368027
"38",38,0.00739520381296279
"39",39,0.00723516324060782
"40",40,0.00667366562613976
"41",41,0.00614975325186598
"42",42,0.00592454210113897
"43",43,0.00494241900410941
"44",44,0.00489790802261108
"45",45,0.00487516933204632
"46",46,0.00474034786848289
"47",47,0.00467300858702474
"48",48,0.00420628053159982
"49",49,0.00401872868930536
"50",50,0.00381980534434348
"51",51,0.00364013817969412
"52",52,0.00354489100581297
"53",53,0.00317234123408549
"54",54,0.00306711978074107
"55",55,0.00301331159507649
"56",56,0.00285749996843338
"57",57,0.00283785723867982
"58",58,0.00278804693586133
"59",59,0.00274954395836709
"60",60,0.0027023690409924
"61",61,0.00267951415356823
"62",62,0.00267534633376755
"63",63,0.00259963115609794
"64",64,0.00256065814355692
"65",65,0.00246058385540689
"66",66,0.00243935519876966
"67",67,0.00237566609541138
"68",68,0.00232550290012132
"69",69,0.00229276428597777
"70",70,0.00227840738540092
"71",71,0.00207431479462292
"72",72,0.00205783066998692
"73",73,0.00202719506952121
"74",74,0.00188014865118881
"75",75,0.00158757080531108
"76",76,0.00153977396223039
"77",77,0.00149864199052906
"78",78,0.0013887179332284
"79",79,0.00137816976894269
"80",80,0.00137003023312645
"81",81,0.00134067527010236
"82",82,0.00132904152993218
"83",83,0.00130231616761517
"84",84,0.00129563516496502
"85",85,0.00127363412570365
"86",86,0.00127173768822207
"87",87,0.00122747914627426
"88",88,0.0012093836953678
"89",89,0.00116829034307426
"90",90,0.00116823562280928
"91",91,0.00115489256273461
"92",92,0.00111541932454005
"93",93,0.00108616740118314
"94",94,0.00107571809457714
"95",95,0.00103904742482992
"96",96,0.00103526999691605
"97",97,0.00102595087035865
"98",98,0.00100477775292865
"99",99,0.000992915103239043
"100",100,0.000989600850213419
"101",101,0.000987059230672994
"102",102,0.00098051597897374
"103",103,0.000967777157223389
"104",104,0.000961131306216049
"105",105,0.000949842616821987
"106",106,0.000913346520507617
"107",107,0.000906082538550515
"108",108,0.000901969591538137
"109",109,0.000895454104705542
"110",110,0.000855190202826384
"111",111,0.000850668926270895
"112",112,0.000845269139404459
"113",113,0.000837649455969801
"114",114,0.00083696182702546
"115",115,0.0008288797104821
"116",116,0.000827405588000625
"117",117,0.000825197663244927
"118",118,0.000807772725641751
"119",119,0.000791644184918057
"120",120,0.000783235751605751
"121",121,0.000777545233666091
"122",122,0.00077718455121352
"123",123,0.000756202871103413
"124",124,0.000752141345734211
"125",125,0.000749650877617934
"126",126,0.000748614879535551
"127",127,0.00074679579217222
"128",128,0.000735364200805178
"129",129,0.000732601878529767
"130",130,0.000728582686308865
"131",131,0.000727022586380887
"132",132,0.000718467459661248
"133",133,0.000716661119439674
"134",134,0.000715127233432775
"135",135,0.000697235370554031
"136",136,0.000695351751447648
"137",137,0.000694336310562584
"138",138,0.000688290801297693
"139",139,0.000677507117346527
"140",140,0.000671999862853361
"141",141,0.000669019810248648
"142",142,0.000667046178040546
"143",143,0.000666887475563259
"144",144,0.000666887475563258
"145",145,0.000663047756491247
"146",146,0.00065902727083684
"147",147,0.000656856309924106
"148",148,0.000656326028462449
"149",149,0.000651540077684608
"150",150,0.000643739576162429
"151",151,0.000643041696010961
"152",152,0.000638808884248427
"153",153,0.000618350593937379
"154",154,0.000593131545761917
"155",155,0.000586413014176387
