"","test","order","auc","SumsOfSqs","MeanSqs","F.model","R2","Pval","N.taxa","F.model.scale"
"18","auc18",18,18,1.0531539186873,1.0531539186873,2.15417472773804,0.0197351565628266,0.005,493,0.818719519923336
"19","auc19",19,19,1.05740811875406,1.05740811875406,2.14930150577845,0.0196913903811347,0.005,521,0.803862970099122
"20","auc20",20,20,1.06046873380314,1.06046873380314,2.13688793958127,0.0195798870567416,0.005,549,0.766018856649324
"21","auc21",21,21,1.07406106961324,1.07406106961324,2.15210575386475,0.019716575681258,0.005,577,0.812412026915955
"22","auc22",22,22,1.0734413680763,1.0734413680763,2.14320144784379,0.0196366005340971,0.005,605,0.785266276702347
"23","auc23",23,23,1.06910958656766,1.06910958656766,2.12004781334052,0.0194285821517147,0.005,634,0.714679891049867
"24","auc24",24,24,1.0663919987005,1.0663919987005,2.10791338898069,0.0193195280113713,0.005,662,0.677686772003576
"25","auc25",25,25,1.07237461518697,1.07237461518697,2.11429351641859,0.0193768703281798,0.005,690,0.697137287894739
"26","auc26",26,26,1.08124471133575,1.08124471133575,2.11083884818325,0.0193458218309573,0.005,719,0.68660535415764
"27","auc27",27,27,1.08320158984141,1.08320158984141,2.10839047110204,0.0193238160878238,0.004,747,0.679141208999255
"28","auc28",28,28,1.08319213943262,1.08319213943262,2.09982763574305,0.0192468465005632,0.005,775,0.653036469424008
"29","auc29",29,29,1.08479445892923,1.08479445892923,2.09955153434761,0.0192443644801474,0.005,804,0.652194744140002
"30","auc30",30,30,1.08369854264438,1.08369854264438,2.08318158772201,0.0190971839783272,0.004,832,0.602289172491545
"31","auc31",31,31,1.084518739806,1.084518739806,2.0779482615208,0.0190501223633103,0.005,861,0.586334805524618
"32","auc32",32,32,1.14572631792841,1.14572631792841,2.16041545909508,0.0197911985769662,0.002,889,0.837745071624914
"33","auc33",33,33,1.15068632354801,1.15068632354801,2.15308930121405,0.0197254087355464,0.002,918,0.81541047851953
"34","auc34",34,34,1.15031702351046,1.15031702351046,2.14966741642786,0.0196946767435071,0.002,946,0.804978488710677
"35","auc35",35,35,1.14783773229107,1.14783773229107,2.13740347007508,0.0195845182505295,0.002,975,0.767590507711149
"36","auc36",36,36,1.14758050210782,1.14758050210782,2.13158296151231,0.019532228010145,0.002,1003,0.749846051131459
"37","auc37",37,37,1.14654049745292,1.14654049745292,2.11801723300461,0.019410334669864,0.002,1032,0.708489444937882
"38","auc38",38,38,1.15812857814497,1.15812857814497,2.11570206026341,0.0193895289157827,0.002,1061,0.701431387770266
"39","auc39",39,39,1.15852302624013,1.15852302624013,2.11203600433447,0.0193565813788918,0.002,1089,0.690255015542957
"40","auc40",40,40,1.16032899049506,1.16032899049506,2.11137994028751,0.0193506849738587,0.002,1118,0.688254932582993
"41","auc41",41,41,1.1622669584604,1.1622669584604,2.11026252256489,0.0193406419687467,0.002,1147,0.68484836251329
"42","auc42",42,42,1.16483791887636,1.16483791887636,2.10655045608612,0.0193072775858125,0.002,1176,0.67353172209549
"43","auc43",43,43,1.16621572495863,1.16621572495863,2.10344559495261,0.0192793690747556,0.002,1204,0.664066213544936
"44","auc44",44,44,1.16660882526275,1.16660882526275,2.0978406464698,0.0192289841305643,0.002,1233,0.646978915431372
"45","auc45",45,45,1.1652243520051,1.1652243520051,2.08821287755374,0.0191424244881311,0.002,1262,0.617627609502022
"46","auc46",46,46,1.16325159754455,1.16325159754455,2.07950710553227,0.0190641410170692,0.002,1291,0.591087111887135
"47","auc47",47,47,1.1542256430482,1.1542256430482,2.04946032805407,0.0187938603445507,0.002,1320,0.499486226402387
"48","auc48",48,48,1.15772499261814,1.15772499261814,2.05126788185484,0.0188101240975682,0.002,1349,0.504996751743467
"49","auc49",49,49,1.15601603313974,1.15601603313974,2.04433118012273,0.0187477070838817,0.002,1378,0.483849458278597
"50","auc50",50,50,1.15702326376537,1.15702326376537,2.04083268256862,0.0187162243020442,0.002,1407,0.473183906072387
"51","auc51",51,51,1.15909611517673,1.15909611517673,2.0380912869871,0.0186915532263204,0.002,1436,0.46482646198662
"52","auc52",52,52,1.15935636198069,1.15935636198069,2.03338264409467,0.0186491750946773,0.002,1465,0.45047164943839
"53","auc53",53,53,1.160575415194,1.160575415194,2.03083604550234,0.01862625399529,0.002,1495,0.442708065266976
"54","auc54",54,54,1.17022499760799,1.17022499760799,2.04151024375946,0.0187223217946607,0.002,1524,0.475249525425267
"55","auc55",55,55,1.17928127503154,1.17928127503154,2.04582915669465,0.0187611866727601,0.002,1553,0.488416203598403
"56","auc56",56,56,1.17976271184218,1.17976271184218,2.04366615155025,0.0187417226848365,0.001,1583,0.481822045982694
"57","auc57",57,57,1.18635583123466,1.18635583123466,2.03851086839989,0.0186953293122299,0.001,1612,0.466105601786972
"58","auc58",58,58,1.18564935169856,1.18564935169856,2.03391482803431,0.0186539649726615,0.001,1641,0.452094070350149
"59","auc59",59,59,1.18696175974574,1.18696175974574,2.03093783232201,0.0186271701656403,0.001,1671,0.44301837351282
"60","auc60",60,60,1.18640059700325,1.18640059700325,2.02627762690429,0.0185852224895575,0.001,1701,0.428811227900802
"61","auc61",61,61,1.18802182553501,1.18802182553501,2.02601449579157,0.0185828538735567,0.001,1730,0.428009043941449
"62","auc62",62,62,1.18181245650292,1.18181245650292,2.00569665860918,0.0183999251423598,0.001,1760,0.366067896396016
"63","auc63",63,63,1.18362918208939,1.18362918208939,2.00075187263526,0.0183553951533572,0.001,1790,0.350993175851596
"64","auc64",64,64,1.18796580965577,1.18796580965577,1.99926482771964,0.0183420028646946,0.001,1820,0.346459756880957
"65","auc65",65,65,1.18725792465056,1.18725792465056,1.99424546053826,0.0182967958731389,0.001,1850,0.331157667373321
"66","auc66",66,66,1.18472239520946,1.18472239520946,1.98244589803525,0.0181905065691959,0.001,1880,0.295185411300491
"67","auc67",67,67,1.1841114880727,1.1841114880727,1.97887361753518,0.0181583232772262,0.001,1910,0.284294923718467
"68","auc68",68,68,1.18555197343534,1.18555197343534,1.9783623076052,0.01815371662515,0.001,1940,0.282736139506836
"69","auc69",69,69,1.18654283304676,1.18654283304676,1.97634022599638,0.0181354982365697,0.001,1970,0.276571602693383
"70","auc70",70,70,1.18778888001483,1.18778888001483,1.97451131551499,0.0181190196834026,0.001,2000,0.270995969176969
"71","auc71",71,71,1.19041387711821,1.19041387711821,1.97274436921352,0.0181030989045261,0.001,2031,0.265609240236185
"72","auc72",72,72,1.19110023186359,1.19110023186359,1.96785326144286,0.0180590256900947,0.001,2061,0.250698163561879
